,Movie,Tags
0,The Shawshank Redemption,the shawshank redemption drama frankdarabont timrobbins morganfreeman bobgunton course several year   two convict form friendship   seek consolation   eventually   redemption basic compassion
1,The Godfather,the godfather crime drama francisfordcoppola marlonbrando alpacino jamescaan Vito Corleone   head mafia family   decide hand empire young son Michael   however   decision unintentionally put life love one grave danger
2,Ramayana: The Legend of Prince Rama,ramayana  the legend of prince rama animation action adventure rammohan y g sak  koichisaski arungovil anime adaptation Hindu epic Ramayana   Lord Ram combat wicke king Ravana
3,Hababam Sinifi,hababam sinifi comedy drama ertemegilmez kemalsunal m nir zkul halitak atepe lazy   uneducated student share close bond   live together dormitory   plan late prank   new headmaster arrive   student naturally try overthrow   comic war nitwit follow
4,DAMaN,daman adventure drama lenkadebiprasad vishalmourya karankandhapan babushanmohanty film set    Sid   young doctor complete MBBS post cutoff area Malkangiri district Odisha   village   infamous Naxals dominance   basic facility   s real life tale perseverance   dedication
5,The Dark Knight,the dark knight action crime drama christophernolan christianbale heathledger aaroneckhart menace know Joker wreak havoc chaos people Gotham   Batman must accept one great psychological physical test ability fight injustice
6,Schindler's List,schindler s list biography drama history stevenspielberg liamneeson ralphfiennes benkingsley Germanoccupied Poland World War II   industrialist Oskar Schindler gradually become concerned jewish workforce witness persecution nazi
7,12 Angry Men,   angry men crime drama sidneylumet henryfonda leej cobb martinbalsam jury New York City murder trial frustrate single member whose skeptical caution force carefully consider evidence jump hasty verdict
8,The Lord of the Rings: The Return of the King,the lord of the rings  the return of the king action adventure drama peterjackson elijahwood viggomortensen ianmckellen Gandalf Aragorn lead World Men Sauron s army draw gaze Frodo Sam approach Mount Doom One Ring
9,The Godfather Part II,the godfather part ii crime drama francisfordcoppola alpacino robertdeniro robertduvall early life career Vito Corleone s New York City portray   son   Michael   expand tighten grip family crime syndicate
10,Aynabaji,aynabaji crime mystery thriller amitabhrezachowdhury chanchalchowdhury masumarahmannabila parthabarua ayna actor prison stage   slip character powerful convict exchange money take place prison   strange profession bear   see full summary
11,Spider-Man: Across the Spider-Verse,spider man  across the spider verse animation action adventure joaquimdossantos kemppowers justink thompson shameikmoore Miles Morales catapult across Multiverse   encounter team SpiderPeople charge protect existence   hero clash handle new threat   Miles must redefine mean hero
12,Pulp Fiction,pulp fiction crime drama quentintarantino johntravolta umathurman samuell jackson live two mob hitman   boxer   gangster wife   pair diner bandit intertwine four tale violence redemption
13,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,kimetsu no yaiba  tsuzumi yashiki hen animation action fantasy haruosotozaki nan Tanjiro venture southsoutheast encounter cowardly young man name Zenitsu Agatsuma   fellow survivor Final Selection sparrow ask Tanjiro help keep line
14,Tosun Pasa,tosun pasa comedy kartaltibet kemalsunal m jdear adilenasit two traditionally rival turkish family    Seferoglu    Tellioglu   compete   Green Valley    winner determine Daver Bey   beautiful young daughter    see full summary
15,Hababam Sinifi Sinifta Kaldi,hababam sinifi sinifta kaldi comedy ertemegilmez kemalsunal m nir zkul semra zdamar young beautiful female teacher start work boy high school
16,Inception,inception action adventure sci fi christophernolan leonardodicaprio josephgordon levitt elliotpage thief steal corporate secret use dreamshare technology give inverse task plant idea mind ceo   tragic past may doom project team disaster
17,Forrest Gump,forrest gump drama romance robertzemeckis tomhanks robinwright garysinise history United States s s unfold perspective Alabama man iq    yearn reunite childhood sweetheart
18,The Lord of the Rings: The Fellowship of the Ring,the lord of the rings  the fellowship of the ring action adventure drama peterjackson elijahwood ianmckellen orlandobloom meek Hobbit Shire eight companion set journey destroy powerful one Ring save Middleearth Dark Lord Sauron
19,Fight Club,fight club drama davidfincher bradpitt edwardnorton meatloaf insomniac office worker devilmaycare soap maker form underground fight club evolve much
20,"Il buono, il brutto, il cattivo",il buono  il brutto  il cattivo adventure western sergioleone clinteastwood eliwallach leevancleef bounty hunt scam join two man uneasy alliance third race find fortune gold bury remote cemetery
21,The Lord of the Rings: The Two Towers,the lord of the rings  the two towers action adventure drama peterjackson elijahwood ianmckellen viggomortensen Frodo Sam edge close Mordor help shifty Gollum   divide fellowship make stand Sauron s new ally   Saruman   horde Isengard
22,Jai Bhim,jai bhim crime drama mystery tjgnanavel suriya lijomoljose manikandank  tribal man arrest case allege theft   wife turn humanright lawyer help bring justice
23,Kill Bill: The Whole Bloody Affair,kill bill  the whole bloody affair action crime thriller quentintarantino umathurman lucyliu vivicaa fox Bride must kill exboss lover Bill betray wedding rehearsal   shoot head take away unborn daughter   first   must make four member Deadly Viper Assassination Squad suffer
24,777 Charlie,    charlie adventure comedy drama kiranrajk rakshitshetty charlie sangeethasringeri Dharma stick rut negative lonely lifestyle spend day comfort loneliness   pup name Charlie enter life give new perspective towards
25,Kimetsu no Yaiba: Natagumo Yama Hen,kimetsu no yaiba  natagumo yama hen animation action fantasy haruosotozaki nan tanjiro team Zenitsu Inosuke investigate miss person case mountain Natagumo   slowly begin realize entire mountain control family Demon spider creature
26,Maratonci trce pocasni krug,maratonci trce pocasni krug comedy drama slobodansijan bogdandiklic danilo bata stojkovic pavlevuisic topalovic family burial business generation   old    yrs old   Pantelija die   five generation heir start fight inheritance
27,Balkanski spijun,balkanski spijun comedy drama dusankovacevic bozidar bota nikolic danilo bata stojkovic boratodorovic convinced subtenant spy enemy state   man fall deep paranoia lead absurd destructive chain event
28,#Home, home drama rojinthomas indrans sreenathbhasi manjupillai Oliver Twist   Indrans   want techsavvy become well companion two son   spend time phone love one
29,Manichitrathazhu,manichitrathazhu comedy horror mystery fazil shobana mohanlal sureshgopi forbid room old bungalow unbolt   spirit vengeful dancer unleash
30,Süt Kardesler,s t kardesler comedy family mystery ertemegilmez kemalsunal senersen halitak atepe Saban   Ramazan Bayram sailor Ottoman Navy Hsamettin commander   Hsamettin s aide Ramazan   Saban foster son Hsamettin s sister Bayram   see full summary
31,Hababam Sinifi Uyaniyor,hababam sinifi uyaniyor adventure comedy ertemegilmez kemalsunal m nir zkul halitak atepe kind hardworke student join Hababam Sinifi   Chaos Class   not accept one become target class   prank
32,Interstellar,interstellar adventure drama sci fi christophernolan matthewmcconaughey annehathaway jessicachastain earth become uninhabitable future   farmer exNASA pilot   Joseph Cooper   task pilot spacecraft   along team researcher   find new planet human
33,One Flew Over the Cuckoo's Nest,one flew over the cuckoo s nest drama milosforman jacknicholson louisefletcher michaelberryman fall    Korean War veteran criminal plead insanity admit mental institution   rally scared patient tyrannical nurse
34,GoodFellas,goodfellas biography crime drama martinscorsese robertdeniro rayliotta joepesci story Henry Hill life mafia   cover relationship wife Karen mob partner Jimmy Conway Tommy DeVito
35,The Matrix,the matrix action sci fi lanawachowski lillywachowski keanureeves laurencefishburne beautiful stranger lead computer hacker Neo forbid underworld   discover shocking truth   life know elaborate deception evil cyberintelligence
36,Star Wars: Episode V - The Empire Strikes Back,star wars  episode v   the empire strikes back action adventure fantasy irvinkershner markhamill harrisonford carriefisher Rebels overpower Empire   Luke Skywalker begin Jedi training Yoda   friend pursue across galaxy Darth Vader bounty hunter Boba Fett
37,The Kashmir Files,the kashmir files drama vivekagnihotri mithunchakraborty anupamkher darshankumaar heartwrenche tale capture pain   suffering   struggle Kashmiri Pandit community   lead Krishna   young college student   set quest uncover truth
38,The Legend of Maula Jatt,the legend of maula jatt action drama fantasy bilallashari fawadkhan mahirakhan humaimamalik time untold legend write soil blood   hero bear   Maula Jatt   fierce prizefighter torture past seek vengeance arch nemesis Noori Natt   fear warrior land Punjab
39,Rocketry: The Nambi Effect,rocketry  the nambi effect biography drama madhavan madhavan simran rajitkapoor base life Indian Space Research Organization scientist Nambi Narayanan   frame spy arrest    though free   continue fight justice official falsely implicate
40,Ko to tamo peva,ko to tamo peva adventure comedy drama slobodansijan pavlevuisic dragannikolic danilo bata stojkovic s April      somewhere Serbia   group people go bus Belgrade   journey change live forever
41,Pariyerum Perumal,pariyerum perumal drama mariselvaraj kathir anandhi yogibabu law student low caste begin friendship classmate   girl belong high caste   man family start give trouble
42,Soorarai Pottru,soorarai pottru action drama sudhakongara suriya pareshrawal aparnabalamurali Nedumaaran Rajangam   Maara   set make common man fly process take world s capital intensive industry several enemy stand way
43,Toma,toma biography drama music draganbjelogrlic zoranlisinac milanmaric tamaradragicevic Biopic Toma Zdravkovic   man remember song unique way sing   also bohemian   behavior soul
44,Saban Oglu Saban,saban oglu saban comedy crime mystery ertemegilmez kemalsunal halitak atepe senersen Husamettin commander army constantly bother stupidity one soldier saban   discharge army   Saban friend Ramazan work night club   see full summary
45,Zügürt Aga,z g rt aga comedy drama neslilgeen senersen erdal zyagcilar nilg nnazli landlord village eastern Turkey decide sell land severe drought migrate Istanbul family   however struggle survival big city   easy
46,Kibar Feyzo,kibar feyzo comedy drama atifyilmaz kemalsunal m jdear adilenasit poor peasant   Feyzo return military service dream get marry Glo   love life   however   face many obstacle   accord tradition   man   see full summary
47,Peranbu,peranbu drama ram mammootty sadhana anjali single father try raise daughter   cerebral palsy   even begin wake sexuality
48,Neseli Günler,neseli g nler comedy drama family orhanaksoy m nir zkul adilenasit senersen midage couple   kid run pickle shop get divorce   kid   family member find year later funny story
49,Sound of Freedom,sound of freedom action biography drama alejandromonteverde jimcaviezel billcamp cristalaparicio incredible true story former government agent turn vigilante embark dangerous mission rescue hundred child sex trafficker
50,Saving Private Ryan,saving private ryan drama war stevenspielberg tomhanks mattdamon tomsizemore follow Normandy Landings   group US soldier go behind enemy line retrieve paratrooper whose brother kill action
51,Terminator 2: Judgment Day,terminator    judgment day action sci fi jamescameron arnoldschwarzenegger lindahamilton edwardfurlong cyborg   identical one fail kill Sarah Connor   must protect ten year old son John even advance powerful cyborg
52,Se7en,se en crime drama mystery davidfincher morganfreeman bradpitt kevinspacey two detective   rookie veteran   hunt serial killer use seven deadly sin motive
53,The Silence of the Lambs,the silence of the lambs crime drama thriller jonathandemme jodiefoster anthonyhopkins lawrencea bonney young FBI   cadet must receive help incarcerate manipulative cannibal killer help catch another serial killer   madman skin victim
54,The Green Mile,the green mile crime drama fantasy frankdarabont tomhanks michaelclarkeduncan davidmorse tale set death row southern jail   gentle giant John possess mysterious power heal people s ailment   lead guard   Paul   recognize John s gift   try help stave condemn man s execution
55,Star Wars,star wars action adventure fantasy georgelucas markhamill harrisonford carriefisher Luke Skywalker join force Jedi Knight   cocky pilot   Wookiee two droid save galaxy Empire s worlddestroye battle station   also attempt rescue Princess Leia mysterious Darth Vader
56,Sen to Chihiro no kamikakushi,sen to chihiro no kamikakushi animation adventure family hayaomiyazaki daveighchase suzannepleshette miyuirino family s move suburb   sullen yearold girl wander world rule god   witch spirit   world human change beast
57,Cidade de Deus,cidade de deus crime drama fernandomeirelles k tialund alexandrerodrigues leandrofirmino slum Rio   two kid   path diverge one struggle become photographer kingpin
58,La vita è bella,la vita   bella comedy drama romance robertobenigni robertobenigni nicolettabraschi giorgiocantarini openminde jewish waiter son become victim Holocaust   use perfect mixture   humor imagination protect son danger around camp
59,It's a Wonderful Life,it s a wonderful life drama family fantasy frankcapra jamesstewart donnareed lionelbarrymore angel send Heaven help desperately frustrated businessman show life would like never exist
60,Shichinin no samurai,shichinin no samurai action drama akirakurosawa toshir mifune takashishimura keikotsushima farmer village exploit bandits hire veteran samurai protection   gather six samurai join
61,Seppuku,seppuku action drama mystery masakikobayashi tatsuyanakadai akiraishihama shimaiwashita ronin request seppuku feudal lord s palace tell brutal suicide another ronin previously visit   reveal past intertwine   challenge clan s integrity
62,Sita Ramam,sita ramam action drama mystery hanuraghavapudi dulquersalmaan mrunalthakur rashmikamandanna orphan soldier   Lieutenant Ram s life change   get letter girl name Sita   meet love blossom   come back camp Kashmir   get catch jail   send letter Sita will not reach
63,Lepa sela lepo gore,lepa sela lepo gore comedy drama history srdjandragojevic draganbjelogrlic nikolakojo draganmaksimovic war Bosnia   two childhood friend eventually become enemy   tragic devastating circumstance war put opposite side expose gruesome cruel aspect human nature
64,O Auto da Compadecida,o auto da compadecida comedy drama fantasy guelarraes matheusnachtergaele seltonmello rog riocardoso follow live   poor Brazilians scheme get money consequence action
65,Anbe Sivam,anbe sivam adventure comedy drama sundarc kamalhaasan madhavan kiranrathod two man   one young arrogant   damage   physically spiritually   life   throw together circumstance   find way bind together fate
66,Nayakan,nayakan crime drama maniratnam kamalhaasan saranyaponvannan delhiganesh common man s struggle corrupt police force put wrong side law   become   love respect many   grow power influence exact heavy toll
67,Hababam Sinifi Tatilde,hababam sinifi tatilde adventure comedy drama ertemegilmez kemalsunal m nir zkul adilenasit Hababam Sinifi   Chaos Class   continue adventure   first female student school history join class Hababam Sinifi fight first   see full summary
68,Alien,alien horror sci fi ridleyscott sigourneyweaver tomskerritt johnhurt crew commercial spacecraft encounter deadly lifeform investigate unknown transmission
69,Back to the Future,back to the future adventure comedy sci fi robertzemeckis michaelj fox christopherlloyd leathompson Marty McFly   yearold high school student   accidentally send   year past timetravele DeLorean invent close friend   maverick scientist Doc Brown
